,model,params,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc
0,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.9725922674419241,0.0023784972139790053,0.9729764979703461,0.0023299319709800437,0.9725721404205914,0.0023789500275350995
1,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.973811383229258,0.003146320415941997,0.9742786067636846,0.003037423709136098,0.9737853020674152,0.0031495522000617965
2,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.9762833779996392,0.003518370600988673,0.9767346928933431,0.003401114389491419,0.9762554147717342,0.0035212227966279785
3,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.9763286343171543,0.0023591095130189436,0.9767799255735217,0.0022856022074799935,0.9763002685816609,0.0023608066123739437
4,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 16}",0.9449361896627352,0.0035964530914478605,0.9455189995163058,0.0039252568995794745,0.944920805108753,0.0035861130028044504
5,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 32}",0.9464036379279491,0.0039054929004061277,0.947723259287266,0.004473579872634133,0.9463639205526123,0.003888565664585989
6,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.9600509599337208,0.003950542387221315,0.9608204284950442,0.003932673434184417,0.9600219730707806,0.003947699737259337
7,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.9597349099159199,0.00392787244203821,0.9605477539290318,0.00394387355244164,0.9597041331924709,0.003923269248231987
8,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.9638099651622948,0.002660398831780038,0.9644048736492659,0.0026317491127157136,0.9637856558722717,0.002658865997614868
9,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.9684832884351007,0.004155191743069431,0.968960382108951,0.004081578582647212,0.9684612926663855,0.00415518305757845
10,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.9723326317164134,0.002678738355185645,0.9727872690953289,0.0026111941020508216,0.9723086490502025,0.002680235627951909
11,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.973529198353034,0.0026353832441683442,0.9739392548772958,0.0025689233926402552,0.9735067708335998,0.0026368263309842353
12,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.9778186737857503,0.002909639883886101,0.9782299471587171,0.0027780802787854804,0.9777918399919413,0.002915246966415742
13,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.9787330122191549,0.0031927924517067613,0.9791215908416422,0.003058392613349712,0.9787067822500296,0.0031986296689317747
