,model,params,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc
0,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.8785662864968844,0.02808920346871664,0.596093491745251,0.13284520662022506,0.7367264265661493,0.0808899052764796
1,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.8887361533269083,0.013793237298184949,0.6449502117429577,0.06473169399023612,0.759416823823559,0.04874681957206019
2,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.9042356480379572,0.017295012025284287,0.7252208924299014,0.046658731403935685,0.8154534301175378,0.029867020030247115
3,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.9048296064208765,0.022252792213179214,0.7245097125281161,0.06217133534523391,0.8138052490742969,0.040444779621124326
4,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 16}",0.7912904962756888,0.01187435334283665,0.6268010962068662,0.022186352407930782,0.8462515986407807,0.02144942408108957
5,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 32}",0.790895629543211,0.012049580160401755,0.6253910125983908,0.02314959097966582,0.8445931311919488,0.02269508253686455
6,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.7816128472154481,0.08118965617772221,0.406257557129572,0.1773331284764492,0.6408191141022397,0.11202732336385644
7,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.7666079113812921,0.09326059254700211,0.4180744411302852,0.17912391965550908,0.6451179546881844,0.11131992065443864
8,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.7629401769096607,0.1009247463490776,0.40231962994978804,0.13960442067857123,0.6356188321658467,0.08671011138601278
9,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.7651271611345004,0.07902586753073026,0.43309128071470127,0.13119821386508693,0.6491210540238983,0.08401788657340237
10,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8754065722680255,0.026004685521658754,0.6478865314651201,0.1310567565129278,0.7936321849113586,0.09473302300067608
11,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8704701528352757,0.01714308264891497,0.6309931993477256,0.09516894350604882,0.774258946568304,0.0707360158989011
12,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8774800127980523,0.015936443650301606,0.6651416807325161,0.055231350304107515,0.7919440782868395,0.04085530118827353
13,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8845876139826524,0.019131688984439624,0.6881738874261842,0.057340770126252785,0.8070358200282625,0.040425552351997567
